GO_terms	freq
GO:0000015	1
GO:0000027	3
GO:0000028	4
GO:0000035	1
GO:0000036	1
GO:0000049	9
GO:0000104	1
GO:0000154	1
GO:0000155	4
GO:0000156	3
GO:0000160	11
GO:0000162	6
GO:0000166	29
GO:0000175	2
GO:0000179	1
GO:0000271	2
GO:0000286	1
GO:0000287	15
GO:0000413	1
GO:0000453	1
GO:0000455	1
GO:0000701	1
GO:0000725	3
GO:0000774	1
GO:0000902	3
GO:0000906	1
GO:0000910	1
GO:0000920	3
GO:0000967	1
GO:0000976	4
GO:0001216	1
GO:0001522	6
GO:0001530	1
GO:0002055	1
GO:0002094	1
GO:0002098	4
GO:0002099	2
GO:0002143	1
GO:0002161	5
GO:0002181	2
GO:0002184	1
GO:0002189	1
GO:0002939	1
GO:0002949	2
GO:0003333	2
GO:0003676	27
GO:0003677	66
GO:0003678	6
GO:0003684	2
GO:0003688	1
GO:0003690	1
GO:0003697	2
GO:0003700	6
GO:0003723	42
GO:0003724	1
GO:0003725	1
GO:0003729	4
GO:0003735	50
GO:0003743	3
GO:0003746	4
GO:0003747	2
GO:0003755	6
GO:0003774	7
GO:0003796	1
GO:0003824	64
GO:0003837	1
GO:0003841	1
GO:0003842	1
GO:0003848	1
GO:0003849	1
GO:0003855	1
GO:0003856	1
GO:0003864	1
GO:0003866	1
GO:0003883	1
GO:0003886	1
GO:0003887	5
GO:0003896	1
GO:0003899	4
GO:0003906	1
GO:0003908	1
GO:0003911	1
GO:0003916	2
GO:0003917	1
GO:0003918	2
GO:0003919	1
GO:0003920	1
GO:0003921	1
GO:0003922	1
GO:0003924	12
GO:0003934	1
GO:0003935	2
GO:0003938	1
GO:0003951	1
GO:0003952	1
GO:0003954	4
GO:0003962	1
GO:0003977	1
GO:0003978	1
GO:0003983	1
GO:0003987	1
GO:0003989	3
GO:0003994	1
GO:0003999	1
GO:0004015	1
GO:0004017	1
GO:0004018	1
GO:0004019	1
GO:0004038	1
GO:0004045	1
GO:0004048	1
GO:0004049	2
GO:0004053	1
GO:0004068	1
GO:0004070	1
GO:0004072	1
GO:0004073	1
GO:0004076	1
GO:0004077	1
GO:0004084	1
GO:0004088	2
GO:0004089	2
GO:0004096	2
GO:0004106	1
GO:0004107	1
GO:0004109	2
GO:0004125	1
GO:0004129	1
GO:0004130	1
GO:0004140	1
GO:0004141	1
GO:0004143	1
GO:0004150	1
GO:0004152	1
GO:0004156	1
GO:0004170	1
GO:0004175	2
GO:0004176	4
GO:0004177	1
GO:0004190	1
GO:0004222	11
GO:0004252	4
GO:0004298	1
GO:0004309	1
GO:0004314	1
GO:0004315	1
GO:0004316	1
GO:0004318	1
GO:0004322	1
GO:0004325	1
GO:0004326	1
GO:0004332	1
GO:0004333	1
GO:0004340	1
GO:0004345	1
GO:0004347	1
GO:0004354	1
GO:0004356	1
GO:0004359	1
GO:0004360	1
GO:0004365	2
GO:0004372	1
GO:0004385	1
GO:0004412	1
GO:0004413	1
GO:0004417	1
GO:0004418	1
GO:0004425	1
GO:0004427	1
GO:0004450	1
GO:0004455	1
GO:0004456	1
GO:0004475	1
GO:0004477	1
GO:0004478	1
GO:0004479	1
GO:0004488	1
GO:0004514	1
GO:0004518	2
GO:0004519	3
GO:0004520	1
GO:0004521	1
GO:0004523	2
GO:0004525	1
GO:0004526	1
GO:0004536	1
GO:0004540	1
GO:0004550	2
GO:0004588	1
GO:0004590	1
GO:0004592	1
GO:0004594	1
GO:0004595	1
GO:0004609	1
GO:0004615	1
GO:0004617	1
GO:0004618	1
GO:0004619	1
GO:0004620	1
GO:0004632	1
GO:0004633	1
GO:0004634	1
GO:0004637	1
GO:0004640	1
GO:0004647	1
GO:0004654	1
GO:0004655	1
GO:0004657	1
GO:0004659	2
GO:0004668	1
GO:0004673	1
GO:0004719	1
GO:0004731	1
GO:0004735	1
GO:0004746	1
GO:0004748	1
GO:0004749	1
GO:0004750	1
GO:0004751	1
GO:0004764	1
GO:0004765	1
GO:0004784	1
GO:0004788	1
GO:0004789	1
GO:0004791	2
GO:0004792	1
GO:0004798	1
GO:0004799	1
GO:0004801	1
GO:0004802	1
GO:0004810	1
GO:0004812	17
GO:0004813	1
GO:0004814	1
GO:0004815	1
GO:0004817	1
GO:0004818	2
GO:0004820	2
GO:0004821	1
GO:0004822	1
GO:0004823	1
GO:0004824	1
GO:0004825	1
GO:0004826	2
GO:0004827	1
GO:0004828	1
GO:0004829	1
GO:0004830	1
GO:0004831	1
GO:0004832	1
GO:0004834	2
GO:0004844	1
GO:0004852	1
GO:0005047	1
GO:0005048	1
GO:0005198	6
GO:0005215	4
GO:0005283	1
GO:0005298	1
GO:0005315	1
GO:0005337	1
GO:0005345	1
GO:0005354	1
GO:0005355	1
GO:0005506	7
GO:0005507	3
GO:0005515	27
GO:0005524	114
GO:0005525	17
GO:0005536	1
GO:0005543	1
GO:0005548	1
GO:0005576	1
GO:0005618	1
GO:0005622	3
GO:0005634	3
GO:0005694	3
GO:0005730	1
GO:0005737	101
GO:0005739	3
GO:0005789	1
GO:0005829	154
GO:0005839	1
GO:0005840	46
GO:0005886	53
GO:0005887	29
GO:0005951	1
GO:0005971	1
GO:0005975	16
GO:0005976	1
GO:0005986	1
GO:0006000	1
GO:0006002	2
GO:0006006	3
GO:0006007	1
GO:0006011	1
GO:0006012	1
GO:0006015	1
GO:0006047	1
GO:0006048	2
GO:0006072	1
GO:0006082	1
GO:0006083	1
GO:0006085	1
GO:0006090	1
GO:0006094	3
GO:0006096	5
GO:0006098	4
GO:0006099	8
GO:0006106	1
GO:0006108	1
GO:0006109	1
GO:0006139	4
GO:0006145	1
GO:0006152	1
GO:0006163	2
GO:0006164	4
GO:0006168	1
GO:0006177	1
