GO_terms	freq	namespace
GO:0000027	1	biological_process
GO:0000027	2	biological_process
GO:0000028	3	biological_process
GO:0000036	1	molecular_function
GO:0000049	8	molecular_function
GO:0000049	1	molecular_function
GO:0000104	1	molecular_function
GO:0000154	1	biological_process
GO:0000155	4	molecular_function
GO:0000156	3	molecular_function
GO:0000160	4	biological_process
GO:0000160	2	biological_process
GO:0000162	1	biological_process
GO:0000162	5	biological_process
GO:0000166	22	molecular_function
GO:0000166	2	molecular_function
GO:0000175	2	molecular_function
GO:0000179	1	molecular_function
GO:0000271	1	biological_process
GO:0000286	1	molecular_function
GO:0000287	16	molecular_function
GO:0000413	1	biological_process
GO:0000455	1	biological_process
GO:0000701	1	molecular_function
GO:0000774	1	molecular_function
GO:0000902	1	biological_process
GO:0000906	1	molecular_function
GO:0000910	1	biological_process
GO:0000967	1	biological_process
GO:0000976	4	molecular_function
GO:0001216	1	molecular_function
GO:0001522	6	biological_process
GO:0002098	1	biological_process
GO:0002098	2	biological_process
GO:0002143	1	biological_process
GO:0002161	5	molecular_function
GO:0002181	2	biological_process
GO:0002189	1	cellular_component
GO:0002939	1	biological_process
GO:0003333	2	biological_process
GO:0003676	8	molecular_function
GO:0003677	58	molecular_function
GO:0003677	6	molecular_function
GO:0003678	6	molecular_function
GO:0003684	1	molecular_function
GO:0003684	1	molecular_function
GO:0003688	1	molecular_function
GO:0003690	1	molecular_function
GO:0003697	2	molecular_function
GO:0003700	4	molecular_function
GO:0003700	2	molecular_function
GO:0003723	3	molecular_function
GO:0003723	1	molecular_function
GO:0003724	1	molecular_function
GO:0003725	1	molecular_function
GO:0003729	4	molecular_function
GO:0003735	4	molecular_function
GO:0003735	46	molecular_function
GO:0003743	3	molecular_function
GO:0003746	2	molecular_function
GO:0003746	1	molecular_function
GO:0003747	2	molecular_function
GO:0003755	1	molecular_function
GO:0003774	7	molecular_function
GO:0003824	27	molecular_function
GO:0003824	33	molecular_function
GO:0003837	1	molecular_function
GO:0003841	1	molecular_function
GO:0003842	1	molecular_function
GO:0003848	1	molecular_function
GO:0003849	1	molecular_function
GO:0003855	1	molecular_function
GO:0003856	1	molecular_function
GO:0003866	1	molecular_function
GO:0003883	1	molecular_function
GO:0003886	1	molecular_function
GO:0003887	5	molecular_function
GO:0003896	1	molecular_function
GO:0003899	4	molecular_function
GO:0003906	2	molecular_function
GO:0003911	1	molecular_function
GO:0003916	2	molecular_function
GO:0003917	1	molecular_function
GO:0003918	2	molecular_function
GO:0003921	1	molecular_function
GO:0003922	1	molecular_function
GO:0003924	8	molecular_function
GO:0003924	5	molecular_function
GO:0003934	1	molecular_function
GO:0003938	1	molecular_function
GO:0003951	1	molecular_function
GO:0003954	3	molecular_function
GO:0003962	1	molecular_function
GO:0003977	1	molecular_function
GO:0003978	1	molecular_function
GO:0003987	1	molecular_function
GO:0003989	1	molecular_function
GO:0003994	1	molecular_function
GO:0003999	1	molecular_function
GO:0004017	1	molecular_function
GO:0004018	1	molecular_function
GO:0004019	1	molecular_function
GO:0004038	1	molecular_function
GO:0004048	1	molecular_function
GO:0004053	1	molecular_function
GO:0004068	1	molecular_function
GO:0004070	1	molecular_function
GO:0004072	1	molecular_function
GO:0004073	1	molecular_function
GO:0004077	1	molecular_function
GO:0004088	2	molecular_function
GO:0004106	1	molecular_function
GO:0004107	1	molecular_function
GO:0004109	2	molecular_function
GO:0004125	1	molecular_function
GO:0004129	1	molecular_function
GO:0004141	1	molecular_function
GO:0004152	1	molecular_function
GO:0004156	1	molecular_function
GO:0004170	1	molecular_function
GO:0004175	1	molecular_function
GO:0004175	1	molecular_function
GO:0004176	4	molecular_function
GO:0004177	1	molecular_function
GO:0004222	1	molecular_function
GO:0004222	10	molecular_function
GO:0004252	3	molecular_function
GO:0004252	1	molecular_function
GO:0004298	1	molecular_function
GO:0004309	1	molecular_function
GO:0004314	1	molecular_function
GO:0004315	1	molecular_function
GO:0004316	1	molecular_function
GO:0004322	1	molecular_function
GO:0004326	3	molecular_function
GO:0004332	1	molecular_function
GO:0004333	1	molecular_function
GO:0004345	1	molecular_function
GO:0004347	1	molecular_function
GO:0004354	1	molecular_function
GO:0004356	1	molecular_function
GO:0004359	1	molecular_function
GO:0004360	1	molecular_function
GO:0004365	2	molecular_function
GO:0004372	1	molecular_function
GO:0004385	1	molecular_function
GO:0004412	1	molecular_function
GO:0004417	1	molecular_function
GO:0004418	1	molecular_function
GO:0004425	1	molecular_function
GO:0004427	1	molecular_function
GO:0004450	1	molecular_function
GO:0004455	1	molecular_function
GO:0004456	1	molecular_function
GO:0004475	1	molecular_function
GO:0004477	1	molecular_function
GO:0004479	1	molecular_function
GO:0004518	1	molecular_function
GO:0004518	2	molecular_function
GO:0004519	4	molecular_function
GO:0004520	1	molecular_function
GO:0004521	2	molecular_function
GO:0004523	2	molecular_function
GO:0004525	1	molecular_function
GO:0004534	1	molecular_function
GO:0004536	1	molecular_function
GO:0004540	1	molecular_function
GO:0004550	1	molecular_function
GO:0004550	1	molecular_function
GO:0004590	1	molecular_function
GO:0004592	1	molecular_function
GO:0004595	1	molecular_function
GO:0004617	1	molecular_function
GO:0004618	1	molecular_function
GO:0004619	1	molecular_function
GO:0004632	1	molecular_function
GO:0004633	1	molecular_function
GO:0004634	1	molecular_function
GO:0004647	1	
GO:0004654	1	molecular_function
GO:0004655	1	molecular_function
GO:0004657	1	molecular_function
GO:0004665	1	molecular_function
GO:0004668	1	molecular_function
GO:0004673	1	molecular_function
GO:0004731	1	molecular_function
GO:0004735	1	molecular_function
GO:0004748	1	molecular_function
GO:0004750	1	molecular_function
GO:0004764	1	molecular_function
GO:0004765	1	molecular_function
GO:0004784	1	molecular_function
GO:0004788	1	molecular_function
GO:0004789	1	molecular_function
GO:0004791	1	molecular_function
GO:0004791	1	molecular_function
GO:0004792	1	molecular_function
GO:0004798	1	molecular_function
GO:0004799	1	molecular_function
GO:0004801	1	molecular_function
GO:0004812	4	molecular_function
GO:0004812	13	molecular_function
GO:0004813	1	molecular_function
GO:0004814	1	molecular_function
GO:0004815	1	molecular_function
GO:0004817	1	molecular_function
