GO_terms	namespace	freq
GO:0000015	cellular_component	1
GO:0000027	biological_process	3
GO:0000028	biological_process	4
GO:0000035	molecular_function	1
GO:0000036	molecular_function	1
GO:0000049	molecular_function	9
GO:0000104	molecular_function	1
GO:0000154	biological_process	1
GO:0000155	molecular_function	4
GO:0000156	molecular_function	3
GO:0000160	biological_process	11
GO:0000162	biological_process	6
GO:0000166	molecular_function	31
GO:0000175	molecular_function	2
GO:0000179	molecular_function	1
GO:0000271	biological_process	2
GO:0000286	molecular_function	1
GO:0000287	molecular_function	17
GO:0000413	biological_process	1
GO:0000453	biological_process	1
GO:0000455	biological_process	1
GO:0000701	molecular_function	1
GO:0000725	biological_process	3
GO:0000774	molecular_function	1
GO:0000902	biological_process	3
GO:0000906	molecular_function	1
GO:0000910	biological_process	1
GO:0000920	biological_process	3
GO:0000967	biological_process	1
GO:0000976	molecular_function	4
GO:0001216	molecular_function	1
GO:0001514	biological_process	1
GO:0001522	biological_process	6
GO:0001530	molecular_function	1
GO:0002055	molecular_function	1
GO:0002094	molecular_function	1
GO:0002098	biological_process	4
GO:0002099	biological_process	2
GO:0002143	biological_process	1
GO:0002161	molecular_function	5
GO:0002181	biological_process	2
GO:0002184	biological_process	1
GO:0002189	cellular_component	1
GO:0002939	biological_process	1
GO:0002949	biological_process	2
GO:0003333	biological_process	2
GO:0003676	molecular_function	44
GO:0003677	molecular_function	73
GO:0003678	molecular_function	6
GO:0003684	molecular_function	2
GO:0003688	molecular_function	1
GO:0003690	molecular_function	1
GO:0003697	molecular_function	2
GO:0003700	molecular_function	6
GO:0003723	molecular_function	45
GO:0003724	molecular_function	1
GO:0003725	molecular_function	1
GO:0003729	molecular_function	4
GO:0003735	molecular_function	53
GO:0003743	molecular_function	3
GO:0003746	molecular_function	4
GO:0003747	molecular_function	2
GO:0003755	molecular_function	6
GO:0003774	molecular_function	7
GO:0003796	molecular_function	1
GO:0003824	molecular_function	70
GO:0003837	molecular_function	1
GO:0003841	molecular_function	1
GO:0003842	molecular_function	1
GO:0003848	molecular_function	1
GO:0003849	molecular_function	1
GO:0003855	molecular_function	1
GO:0003856	molecular_function	1
GO:0003864	molecular_function	1
GO:0003866	molecular_function	1
GO:0003883	molecular_function	1
GO:0003886	molecular_function	1
GO:0003887	molecular_function	5
GO:0003896	molecular_function	1
GO:0003899	molecular_function	4
GO:0003906	molecular_function	2
GO:0003908	molecular_function	1
GO:0003911	molecular_function	1
GO:0003916	molecular_function	2
GO:0003917	molecular_function	1
GO:0003918	molecular_function	2
GO:0003919	molecular_function	1
GO:0003920	molecular_function	1
GO:0003921	molecular_function	1
GO:0003922	molecular_function	1
GO:0003924	molecular_function	13
GO:0003934	molecular_function	1
GO:0003935	molecular_function	2
GO:0003938	molecular_function	1
GO:0003951	molecular_function	1
GO:0003952	molecular_function	1
GO:0003954	molecular_function	4
GO:0003962	molecular_function	1
GO:0003977	molecular_function	1
GO:0003978	molecular_function	1
GO:0003983	molecular_function	1
GO:0003987	molecular_function	1
GO:0003989	molecular_function	3
GO:0003994	molecular_function	1
GO:0003999	molecular_function	1
GO:0004015	molecular_function	1
GO:0004017	molecular_function	1
GO:0004018	molecular_function	1
GO:0004019	molecular_function	1
GO:0004038	molecular_function	1
GO:0004040	molecular_function	1
GO:0004045	molecular_function	1
GO:0004048	molecular_function	1
GO:0004049	molecular_function	2
GO:0004053	molecular_function	1
GO:0004067	molecular_function	1
GO:0004068	molecular_function	1
GO:0004070	molecular_function	1
GO:0004072	molecular_function	1
GO:0004073	molecular_function	1
GO:0004076	molecular_function	1
GO:0004077	molecular_function	1
GO:0004084	molecular_function	1
GO:0004088	molecular_function	2
