tmp_code	GO_terms
tmp_000003	['GO:0016787', 'GO:0015668', 'GO:0003677', 'GO:0005524']
tmp_000005	['GO:0003676', 'GO:0008170', 'GO:0003677', 'GO:0005737', 'GO:0032259', 'GO:0008168']
tmp_000006	['GO:0003676', 'GO:0003678', 'GO:0006281', 'GO:0005524']
tmp_000009	['GO:0006281', 'GO:0008311', 'GO:0006284', 'GO:0004519', 'GO:0003906', 'GO:0003677', 'GO:0004518', 'GO:0003824', 'GO:0008081']
tmp_000012	['GO:0006260', 'GO:0016887', 'GO:0005886', 'GO:0003677', 'GO:0005524', 'GO:0006275', 'GO:0043565', 'GO:0003688', 'GO:0006270']
tmp_000013	['GO:0009116', 'GO:0003824']
tmp_000015	['GO:0006047', 'GO:0005829', 'GO:1901137', 'GO:0006487', 'GO:1901135', 'GO:0006002', 'GO:0097367', 'GO:0004360']
tmp_000016	['GO:0006231', 'GO:0050660', 'GO:0050797', 'GO:0070402', 'GO:0004799']
tmp_000019	['GO:0003676', 'GO:0008170', 'GO:0009307', 'GO:0003677', 'GO:0009007', 'GO:0032259', 'GO:0008168']
tmp_000022	['GO:0009279', 'GO:0006826']
tmp_000023	['GO:0006525', 'GO:0019547', 'GO:0046872', 'GO:0030145', 'GO:0005737', 'GO:0004053']
tmp_000024	['GO:0006524', 'GO:0042853', 'GO:0000286', 'GO:0005886']
tmp_000027	['GO:0019674', 'GO:0006741', 'GO:0003951']
tmp_000028	['GO:0009314', 'GO:0016887', 'GO:0006281', 'GO:0005524', 'GO:0006310', 'GO:0009432']
tmp_000034	['GO:0003676', 'GO:0006260', 'GO:0008408', 'GO:0005829', 'GO:0045004', 'GO:0003887', 'GO:0003677']
tmp_000035	['GO:0005829', 'GO:0005975', 'GO:0006098', 'GO:0044262', 'GO:0016857', 'GO:0004750', 'GO:0046872', 'GO:0009052']
tmp_000036	['GO:0006094', 'GO:0042132', 'GO:0005829', 'GO:0005975', 'GO:0005986', 'GO:0030388', 'GO:0006000', 'GO:0005737', 'GO:0016791', 'GO:0006002']
tmp_000041	['GO:0003746', 'GO:0005515', 'GO:0006414']
tmp_000042	['GO:0022627', 'GO:0005840', 'GO:0006412', 'GO:0015935', 'GO:0003735']
